Word,Pronunciation
的確,dik kok
的時候,dik si hau
的士,dik si*
的士錢,dik si* {cin cin*}
的話,dik waa*
適,"dik,sik"
迪,dik
敵,dik
敵對,dik deoi
敵國,dik gwok
敵人,dik jan
點,dim
點,dim
點,dim
點,dim
點,dim
點呀?,dim
點相,dim {soeng soeng soeng*}
點話點好,dim {waa waa} dim {hou hou}
點呀,dim aa
點不知,dim bat zi
點錢,dim chin
點點,dim dim
點點頭,dim dim tau
點都好,dim dou hou
點到,dim dou
點發,dim faat
點火,dim fo
點解,dim gaai
點交,dim gaau
點見,dim gin
點號,dim hou
點燃,dim jin
點樣,dim joeng*
點樣做,dim joeng* zou
點蠟燭,dim laap juk
點心,dim sam
點收,dim sau
點算,dim syun
點頭,dim tau
點煙,dim yin
點知,dim zi
點做,dim zou
點鐘,dim zung
店,dim
店面,dim min
癲,din
顛,din
顛倒,din dou
顛覆罪,din fuk jeui
癲狂,din kwong
癲佬,din lou
癲婆,din po*
典,din
典型,din jing
典型的,din ying dik
電,din
殿,din
奠,din
電壓,din aat
電報,din bou
電車,din ce
電池,din ci
電單車,din daan ce
電燈,din dang
電燈膽,din dang daam
電飯煲,din faan bou
電費,din fai
電機,din gei
電工,din gung
殿軍,din gwan
電器,din hei
奠酒,din jau
電郵,din jau
電油,din jau
電子產品,din ji chaan ban
電影,din jing
電源,din jyun
電纜,din laam
電聯,din lyun
電煤,din mui
電腦城,din nou sing
電死,din sei
電訊,din seon
電視,din si
電視電影,din si din ying
電視轉播,din si jyun bo
電視劇,din si kek
電視台,din si toi
電線,din sin
電梯,din tai
電台,din toi
電筒,din tung*
電話費,din wa fai
電話公司,din wa gung si
電話聽筒,din wa teng tung
電話卡,din waa kaat [din waa kaat]
電話,din waa*
電話號碼,din waa* houmaa
電話線,din waa* sin
電影節,din ying jit
電源線,din yun sin
墊支,din zi
電子,din zi
丁,ding
叮,ding
叮噹,ding dong
丁香,ding heung
叮囑,ding zuk
鼎,ding
鼎鼎,ding ding
頂檔,ding dong
頂頸,ding geng
鼎足,ding juk
頂爛市,ding laan si
頂籠,ding lung*
頂唔順,ding m seon
頂唔住,ding m zyu
頂你個肺,ding nei go fai
鼎盛,ding sing
鼎盛期,ding sing kei
頂罪,ding zeoi
頂住,ding zyu
定邊,ding bin
定必,ding bit
定單,ding daan
定點,ding dim
定都,ding dou
定婚,ding fan
定價,ding gaa
定結,ding git
定係,ding hai
定義,ding ji
定規,ding kwai
定名,ding ming
定安,ding on
定案,ding on
定勢,ding sai
定神,ding san
定時,ding si
定時鐘,ding si jung
定為,ding wai
定日,ding yat
定約,ding yeuk
訂婚,ding/ fan
碟,dip dip*
疊埋心水,dip maai sam seoi
跌打,dit daa [tit daa]
跌蕩,dit dong
跌到,dit dou
跌落,dit lok
跌眼鏡,dit ngaan geng*
秩,dit
秩序,dit zeoi
丟,diu
刁,diu
凋,diu
鵰,diu
丟假,diu {gaa; gaa}
刁橋扭擰,diu {kiu kiu} nau ning
丟低,diu dai
丟掉,diu diu
刁蠻,diu maan
凋謝,diu ze
屌,diu
屌你,diu nei
屌你老母,diu nei lou mou*
吊,diu
釣,diu
弔詭,diu gwai
吊鹽水,diu jim seoi
釣魚,diu jyu*
調查,diu caa
調查員,diu cha yun
調低,diu dai
調動,diu dung
掉過,diu gwo
Do,Do
多,do
多巴,do ba
多賓,do ban
多病,do beng
多報,do bou
多部,do bou
多半,do bun
多長,do cheung
多情,do ching
多次,do ci
多彩,do coi
多大,do daai
多得,do dak
多特,do dak
多啲,do di
多的是,do dik si
多多,do do
多多少少,do do siu siu
多刀,do dou
多端,do dyun
多塊,do faai
多夫,do fu
多風,do fung
多金,do gam
多感情,do gam ching
多高,do gou
多管閒事,do gun haan si
多國,do gwok
多口,do hau
多汗,do hon
多好,do hou
多針,do jam
多姿,do ji
多樣,do joeng
多種,do jung
多餘,do jyu
多元,do jyun
多拉,do laai
多禮,do lai
多利,do lei
多倫,do leun
多來,do loi
多麼,do mo
多牙,do nga
多年,do nin
多手,do sau
多相,do seung
多時,do si
多事,do si
多事幹,do si gon
多士,do si*
多少,do siu
多少錢,do siu chin
多數,do sou
多數人,do sou yan
多頭,do tau
多添,do tim
多糖,do tong
多言,do yin
多雨,do yu
多用,do yung
多謝,do ze
多謝夾盛惠,do ze gaap sing wai
多謝晒,do ze saai
多謝嗮,do ze saai
多謝嗮你,do ze saai nei
多嘴,do zeoi
朵,do
可大可小,do daai ho siu
墮,do
墮落,do lok
琢,doek
代,doi
待,doi
代筆,doi bat
代表性,doi biu sing
代表人,doi biu yan
代代相傳,doi doi seung chyun
代課,doi fo
代價,doi gaa
代罪,doi jeui
代罪羔羊,doi jeui gou yeung
待遇,doi jyu
代溝,doi kau
代理,doi lei
代理人,doi lei jan
代理權,doi lei kyun
代勞,doi lou
代替,doi tai
代人,doi yan
待人,doi yan
代言,doi yin
度,dok
度,dok
踱,dok
踱步,dok bou
度橋,dok kiu*
度水,dok seoi
當前,dong cin
當場,dong coeng
當特,dong dak
當地,dong dei
當地人,dong dei jan
當當,dong dong
當家,dong gaa
當更,dong gaang
當今,dong gam
當局,dong guk
當過,dong gwo
當黑,dong hak
當日,dong jat
當然,dong jin
當政,dong jing
當眾侮辱,dong jung mou yuk
當期,dong kei
當權,dong kyun
當晚,dong maan
當面,dong min*
當我,dong ngo
當年,dong nin
當世,dong sai
當上,dong seung
當時,dong si
當事,dong si
當事人,dong si jan
當選,dong syun
當天,dong tin
當堂,dong tong
當然地,dong yin dei
當值,dong zik
當中,dong zung
當眾,dong zung
黨,dong
擋,dong
黨中央,dong jung yeung
檔口,dong hau
當成,dong sing
當做,dong zou
蕩,dong
蕩失路,dong sat lou
都,dou
都,dou
都,dou
都,dou
都,dou
刀,dou
都係,dou hai
都可以,dou ho ji
都好,dou hou
都好啦,dou hou laa
都市,dou si
都是,dou si
都會,dou wui/wui
到,dou
賭,dou
島,dou
睹,dou
搗,dou
倒閉,dou bai
賭波,dou bo
賭博,dou bok
賭錢,dou cin*
賭場,dou coeng
搗蛋,dou daan
倒地,dou dei
倒下,dou ha
倒冧,dou lam
搗亂,dou lyun
倒霉,dou mui
賭神,dou san
倒瀉,dou se*
倒水,dou seoi
倒塌,dou taap
禱,"dou,tou"
到,dou
妒,dou
到埗,dou bou
到齊,dou chai
到此,dou chi
到場,dou coeng
到處,dou cyu
到達,dou daat
到底,dou dai
到家,dou gaa
妒忌,dou gei
到站,dou jaam
倒置,dou ji
到即,dou jik
到中途,dou jung tou
到期,dou kei
到來,dou lei/lai/loi
到了,dou liu
到目前,dou muk chin
到目前為止,dou muk chin wai ji
到手,dou sau
到時,dou si
到時候,dou si hau
到頭,dou tau
到頭來,dou tau loi
到會,dou wui
到一半,dou yat bun
妒意,dou yi
到現場,dou yin cheung
到現在,dou yin joi
倒轉,dou zyun
度,dou
道,dou
杜,dou
渡,dou
盜,dou
導,dou
蹈,dou
悼,dou
渡假,dou {gaa; gaa}
杜拜,dou baai
導出,dou cheut
道情,dou ching
道德,dou dak
道德層面,dou dak chang min
道德觀,dou dak gun
道德上,dou dak seung
度假,dou gaa
道教,dou gaau
道具,dou geoi
度過,dou gwo
渡過,dou gwo
道光,dou gwong
道行,dou hang
道歉,dou hip
導遊,dou jau
道友,dou jau
道長,dou jeung
導演,dou jin
道理,dou lei
道路,dou lou
渡蜜月,dou mat jyut
道外,dou ngoi
悼念,dou nim
道士,dou si
道人,dou yan
度日,dou yat
道院,dou yun
導致,dou zi
杜絕,dou zyut
篤,duk
督,duk
篤爆,duk baau
篤眼篤鼻,duk ngaan duk bei
篤屎,duk si
毒,duk
獨,duk
毒品,duk ban
讀報,duk bou
獨步,duk bou
讀出,duk cheut
獨特,duk dak
獨特性,duk dak sing
讀到,duk dou
獨到,duk dou
毒計,duk gai
讀緊書,duk gan syu
獨沽一味,duk gu jat mei*
讀關於,duk gwaan yu
獨行,duk hang
獨行俠,duk hang haap
讀音,duk jam
毒藥,duk joek
獨立,duk laap
獨立派,duk laap paai
獨立性,duk laap sing
毒辣,duk laat
獨力,duk lik
獨眼龍,duk ngaan lung
毒手,duk sau
毒死,duk sei
獨食,duk sik
讀書,duk syu
獨奏,duk zau
獨自,duk zi
東,dung
冬,dung
東德,dung dak
東突,dung dat
東非,dung fei
東方,dung fong
東方之珠,dung fong zi zyu
東風螺,dung fung lo*
東家,dung ga
東京,dung ging
東江,dung gong
冬瓜,dung gwaa
冬季,dung gwai
東南,dung naam
東岸,dung ngon
東西,dung sai
冬天,dung tin
東洋,dung yeung
東主,dung zyu
懂,dung
董,dung
懂得,dung dak
董事,dung si
董事長,dung si zoeng
凍,dung
凍過水,dung gwo seoi
動,dung
洞,dung
動不動,dung bat dung
動詞,dung chi
洞房,dung fong
動機,dung gei
動人,dung jan
動搖,dung jiu
動用,dung jung
動員,dung jyun
動力,dung lik
動物園,dung mat jyun
動身,dung san
動手,dung sau
動手動腳,dung sau dung geuk
動畫,dung waa [dung waa]
動靜,dung zing
端,dyun
端點,dyun dim
端午,dyun ng
端莊,dyun zong
短,dyun
短見,dyun gin
短期,dyun kei
短期內,dyun kei noi
短劇,dyun kek
短缺,dyun kyut
短命,dyun meng
短篇,dyun pin
短篇小說,dyun pin siu syut
短衫,dyun saam
短時間,dyun si gaan
短少,dyun siu
短暫,dyun zaam
斷搶,dyun coeng
斷定,dyun ding
斷估,dyun gu
鍛煉,dyun lin
段,dyun
斷背,dyun bui
段落,dyun lok
斷送,dyun sung
斷頭臺,dyun tau toi
斷絕,dyun zyut [tyun zyut]
奪,dyut
奪取,dyut ceoi
奪得,dyut dak
奪權,dyut kyun
奪門而出,dyut mun yi cheut
Er,Er
花叢,fa chung
花掉,fa diu
花都,fa dou
花結,fa git
花轎,fa giu*
花香,fa heung
花開,fa hoi
花枝招展,fa ji jiu jin
花子,fa ji
花呢,fa ne
花農,fa nung
花絮,fa seui
化武,fa mou
化為烏有,fa wai wu yau
花錢,faa cin [faa cin]
花燈,faa dang
花多眼亂,faa do ngaan lyun
花花公子,faa faa gung zi
花費,faa fai
花款,faa fun
花街,faa gaai
花紅,faa hung
花樣,faa joeng [faa joeng]
花園,faa jyun*
花名,faa meng*
花牌,faa paai*
花盆,faa pun
花心,faa sam
花心蘿蔔,faa sam lo baak
花臣,faa san*
花生,faa sang
花生醬,faa sang zoeng
花市,faa si
花天酒地,faa tin zau {dei dei*}
花王,faa wong
化,faa
化骨龍,faa gwat lung
化學,faa hok
化身,faa san
化石,faa sek
化算,faa syun
化妝,faa zong
化妝品,faa zong ban
快勞,faai lou*
快,faai
塊,faai
筷,faai
快步走,faai bou jau
快餐,faai caan
快炒,faai caau
快車,faai ce
快趣,faai ceoi
快脆,faai ceoi
快啲,faai di
快到,faai dou
傀,faai gwai
快進,faai jeun
快樂,faai lok
快慢,faai maan
快手快腳,faai sau faaigoek
快活,faai wut
拂袖而去,faak jau yi heui
翻,faan
返,faan (faan occationally used lit)
返畀,faan bei
返出嚟,faan ceot lai
翻到,faan dou
返工,faan gung
番工,faan gung
返歸,faan gwai
翻過,faan gwo
返過嚟,faan gwo lai
返去,faan heoi
返鄉,faan heung
返學,faan hok
返入嚟,faan jap lai
翻譯,faan jik
翻轉,faan jyun
番茄,faan ke*
返嚟,faan lai ; faan lei
返埋嚟,faan maai lai
翻倍,faan pui
返生,faan saang
翻生,faan saang
翻身,faan san
返上嚟,faan soeng lai
番書仔,faan syu zai
翻船,faan syun
番攤,faan taan
翻頭嫁,faan tau gaa
返頭嫁,faan tau gaa
返屋企,faan uk kei*
翻閱,faan yut
返轉頭,faan zyun tau
反,faan
反駁,faan bok
反叛,faan bun
反彈,faan daan
反斗,faan dau
反對,faan deoi
反方,faan fong
反覆,faan fuk
反擊,faan gik
反觀,faan gun
反骨,faan gwat
反過來,faan gwo loi
反口,faan hau
反掌,faan jeung
反而,faan ji
反戰,faan jin
反戰者,faan jin je
反映,faan jing
反應,faan jing
反證,faan jing
反政府,faan jing fu
反抗,faan kong
反壟斷,faan lung tyun
反面,faan min/min*
反目,faan muk
反派,faan paai
反省,faan sing
反鎖,faan so
反常,faan soeng
反胃,faan wai
反映出,faan ying cheut
反之,faan zi
反正,faan zing
反轉,faan zyun
反轉咗,faan zyun zo
反轉豬肚,faan zyun zyu tou
反轉豬肚就係屎,faan zyun zyu tou zau hai si
泛,faan
販毒,faan duk
販毒案,faan duk on
販子,faan ji
氾濫,faan laam
販賣,faan maai
販,"faan,faan"
煩,faan
凡,faan
繁,faan
帆,faan
藩,faan
繁多,faan do
凡夫,faan fu
凡響,faan heung
繁衍,faan jin / faan jin / faan hin
煩惱,faan nou
煩死,faan sei
繁盛,faan sing
帆船,faan syun
繁華,faan waa
飯,faan
範,faan
犯,faan (faan)
飯店,faan dim
犯毒,faan duk
犯法,faan faat
飯盒,faan hap*
犯罪分子,faan jeui fan ji
飯食,faan sik
飯堂,faan tong
範圍,faan wai
飯碗,faan wun
犯罪,faan zeoi
犯賤,faan zin
發癲,faat dīn
發,faat
法,faat
髮,faat
發白,faat baak
發白日夢,faat baak jat mung
發表,faat biu
發表意見,faat biu yi gin
發佈,faat bou
發出,faat ceot
發財,faat coi
發呆,faat daai
發大,faat daai
發達,faat daat
發動,faat dung
發短信,faat dyun seun
發花癲,faat faa din
發揮,faat fai
發奮,faat fan
發火,faat fo
發放,faat fong
發福,faat fuk
發覺,faat gok
法官,faat gun
發掘,faat gwat
法國,faat gwok
法國人,faat gwok jan
發光,faat gwong
發黑,faat haak
發行,faat hang
發起,faat hei
發開口夢,faat hoi hau mung
發音,faat jam
法人,faat jan
發自,faat ji
發展到,faat jin dou
發展好,faat jin hou
發展中,faat jin jung
發展中國,faat jin jung gwok
發展成,faat jin sing
發言,faat jin
發現,faat jin
髮型,faat jing
發羊吊,faat joeng diu
發育,faat juk
法院,faat jyun
發卡,faat ka
發狂,faat kong
法規,faat kwai
法拉,faat laai
法拉利,faat laai lei
法蘭,faat laan
法蘭克福,faat laan haak fuk
法蘭克,faat laan hak
發爛渣,faat laan zaa
法例,faat lai
髮笠,faat lap
法理,faat lei
法利,faat lei
法裏,faat leui
發亮,faat leung
法律,faat leut
法律顧問,faat leut gu man
發力,faat lik
髮廊,faat long
法老王,faat lou wong
發麻,faat ma
發茅,faat maau
法文,faat man
發問,faat man
發明,faat ming
法網,faat mong
法網難逃,faat mong naan tou
發毛,faat mou*
發夢,faat mung
發難,faat naan
發噏風,faat ngap fung
發惡,faat ok
法案,faat on
發脾氣,faat pei hei
發生意外,faat saang yi ngoi
發誓,faat sai
發薪,faat san
發神經,faat san ging
發生,faat sang
發愁,faat sau
發市,faat si
發聲,faat sing
發燒,faat siu
發燒友,faat siu jau*
法庭,faat ting
發圍,faat wai
法會,faat wui
法醫,faat yi
發言權,faat yin kyun
法院法官,faat yun faat gun
法制,faat zai
法子,faat zi
法治,faat zi
發展,faat zin
發作,faat zok
Face,Face
揮,fai
徽,fai
揮手,fai sau
輝映,fai ying
廢,fai
費,fai
肺,fai
沸,fai
廢柴,fai caai
肺炎,fai jim
費用,fai jung
肺癆,fai lou
費心,fai sam
快手,fai sau
費時,fai si
費事,fai si
廢事,fai si
沸騰,fai tang
廢話,fai waa*
廢話少講,fai waa* {siu siu} gong
廢人,fai yan
婚,fan
吩,fan
芬,fan
昏,fan
醺,fan
紛,fan
昏暗,fan am
分別,fan bit
分別就,fan bit jau
分佈,fan bou
分出,fan cheut
婚前,fan chin
婚前性,fan chin sing
分錯,fan cho
分擔,fan daam
分得,fan dak
分到,fan dou
分化,fan faa
紛紛,fan fan
紛飛,fan fei
分房,fan fong
吩咐,fan fu
分隔,fan gaak
分機,fan gei
分割,fan got
分公司,fan gung si
分校,fan haau
婚後,fan hau
分享,fan hoeng
分開,fan hoi
分行,fan hong*
婚姻,fan jan
分帳,fan jeung
婚約,fan joek
分歧,fan kei
分期付款,fan kei fu fun
婚禮,fan lai
分離,fan lei
分類,fan leoi
分裂,fan lit
昏迷,fan mai
昏迷狀態,fan mai jong taai
分明,fan ming
分批,fan pai
分配,fan pui
婚紗,fan saa
分散,fan saan
分手,fan sau
分相,fan seung
分時,fan si
婚事,fan si
分析,fan sik
分析一下,fan sik yat ha
分析員,fan sik yun
分數,fan sou
分頭,fan tau
分為,fan wai
紛爭,fan zang
分支,fan zi
分鐘,fan zung
粉,fan
粉腸,fan coeng*
粉底,fan dai
粉紅,fan hung
粉紅色,fan hung sik
粉絲,fan si
瞓,fan
瞓低,fan dai
瞓街,fan gaai
瞓覺,fan gaau
訓練,fan lin
瞓醒,fan seng
瞓着,fan zoek
焚,fan
墳,fan
墳場,fan coeng
墳墓,fan mou
焚燒,fan siu
奮,fan
憤,fan
奮鬥,fan dau
忿忿不平,fan fan bat ping
憤恨,fan han
奮進,fan jeun
奮勇,fan jung
憤慨,fan koi
憤怒,fan nou
忿怒,fan nou
奮戰,fan zin
份,fan
忿氣,fan hei
份外,fan ngoi
忽,fat
窟,fat
忽然間,fat jin gaan
忽略,fat loek
忽視,fat si
罰,fat
佛,fat
乏,fat
伐,fat
罰錢,fat cin*
佛都有火,fat dou jau fo
佛教,fat gaau
罰酒,fat jau
佛羅里達,fat lo lei daat
佛像,fat zoeng
剖,"fau (literary, common)pau (colloquial, uncommon)"
否定,fau ding
否認,fau jing
否則,fau zak
浮,fau
浮出,fau cheut
浮動,fau dung
浮現,fau jin
浮屠,fau tou
浮現出,fau yin cheut
埠,fau
啡,fe|fei
飛,fei
非,fei
飛奔,fei ban
非暴力,fei bou lik
飛車,fei ce
非但,fei daan
飛快,fei faai
非法,fei faat
飛髮,fei faat
飛髮舖,fei faat pou*
飛虎隊,fei fu deui*
飛機,fei gei
飛機場,fei gei coeng
飛機票,fei gei piu
飛行,fei hang
飛揚,fei joeng
飛擒大咬,fei kam daai ngaau
非禮,fei lai*
菲林,fei lam*
非賣品,fei maai ban
飛女,fei neoi*
非我,fei ngo
非農,fei nung
飛撲,fei pok
非常,fei seung
非常非常,fei seung fei seung
非常興奮,fei seung hing fan
非常好,fei seung hou
非常手段,fei seung sau dyun
非常成功,fei seung sing gung
非常討厭,fei seung tou yim
非小說,fei siu syut
非常之,fei soeng zi
飛跳,fei tiu
非同小可,fei tung siu ho
飛往,fei wong
飛仔,fei zai
匪夷所思,fei yi so si
蜚語,fei yu
肥,fei
肥大,fei daai
肥嘟嘟,fei dyut dyut
肥佬,fei lou
肥婆,fei po
肥屍大隻,fei si daai zek
肥揗揗,fei tan tan
肥頭大耳,fei tau daai ji
肥仔,fei zai
肥仔嘜,fei zai mak
科,fo
科畢,fo bat
科比,fo bei
科特,fo dak
科技,fo gei
科技界,fo gei gaai
科技公司,fo gei gung si
科考,fo haau
科學,fo hok
科學園,fo hok yun
科集團,fo jaap tyun
科目,fo muk
科索沃,fo sok yuk
科幻小說,fo waan siu syut
火,fo
伙,fo
火燄,fo
火爆,fo baau
伙伴,fo bun
火柴,fo caai/*
火車,fo ce
火車站,fo ce zaam
火花,fo faa
火化,fo faa
火雞,fo gai
伙記,fo gei
伙計,fo gei
火警,fo ging
火滾,fo gwan
火起,fo hei
火氣,fo hei
火熱,fo jit
火藥,fo joek
火藥味,fo joek mei
火辣,fo laat
火辣辣,fo laat laat
火力,fo lik
火爐,fo lou
火山,fo saan
火石,fo sek
火水,fo seoi
火星,fo sing
火燒,fo siu
火船,fo syun
火腿,fo teoi
火遮眼,fo ze ngaan
火箭,fo zin
火燭,fo zuk
火燭車,fo zuk ce
貨,fo
課,fo
貨幣,fo bai
貨品,fo ban
課程,fo cing
貨倉,fo cong
貨價,fo ga
貨櫃,fo gwai
貨物,fo mat
課室,fo sat
貨色,fo sik
課題,fo tai
貨源,fo yun
霍,fok
霍金,fok gam
方,fong
慌,fong
荒,fong
芳,fong
肪,fong
方便,fong bin
方法,fong faat
坊間,fong gaan
方向,fong hoeng
方言,fong jin
荒謬,fong mau
方面,fong min
慌忙,fong mong
方案,fong on
芳心,fong sam
方式,fong sik
方針,fong zam
慌張,fong zoeng
慌住,fong zyu
仿,fong
訪,fong
恍,fong
訪尋,fong cham
彷彿,fong fat
恍惚,fong fat
仿效,fong haau
仿真,fong jan
恍然,fong jin
訪問,fong man
仿照,fong ziu
放,fong
況,fong
況且,fong ce
放大,fong daai
放膽,fong daam
放到,fong dou
放寬,fong fun
放風,fong fung
放風箏,fong fung jang
放假,fong ga
放狗,fong gau
放工,fong gung
放過,fong gwo
放行,fong hang
放棄,fong hei
放開,fong hoi
放學,fong hok
放心,fong sam
放手,fong sau
放上,fong seung
放聲,fong sing
放鬆,fong sung
放人,fong yan
放煙花,fong yin fa
放置,fong zi
防,fong
妨,fong
房車,fong ce [fong ce]
房地產,fong dei caan
防盜,fong dou
防毒,fong duk
防毒面具,fong duk min geui
房東,fong dung
防範,fong faan
防腐,fong fu
房間,fong gaan
防禦,fong jyu
房門,fong mun
妨礙,fong ngoi
房屋,fong uk
防患,fong waan
防護,fong wu
房子,fong zi
防止,fong zi
房,fong|fong
夫,fu
呼,fu
敷,fu
枯,fu
骷,fu
膚,fu
俘,fu
夫妻,fu cai
枯燥乏味,fu chou fat mei
枯燥,fu cou
呼呼喝喝,fu fu hot hot
呼叫,fu giu
敷衍,fu hin
夫人,fu jan/*
敷藥,fu joek
呼籲,fu jyu
呼吸,fu kap
俘虜,fu lou
夫婿,fu sai
呼嘯,fu siu
呼喚,fu wun
虎,fu
苦,fu
斧,fu
府,fu
俯,fu
苦處,fu chyu
苦衷,fu cung
苦況,fu fong
苦苦,fu fu
苦澀,fu gip
苦幹,fu gon
苦功,fu gung
苦工,fu gung
苦果,fu gwo
苦口,fu hau
苦口苦面,fu hau fu min
撫養,fu joeng
苦勞,fu lou
苦命,fu ming
苦難,fu naan
苦惱,fu nou
苦心,fu sam
俯身,fu san
府上,fu soeng
副,fu
咐,fu
褲,fu
富,fu
賦,fu
戽,fu
富家子,fu gaa zi
副教授,fu gaau sau
副經理,fu ging lei
富貴,fu gwai
富豪,fu hou
富有,fu jau
富翁,fu jung
富裕,fu jyu
富麗堂皇,fu lai tong wong
褲頭帶,fu tau daai*
褲子,fu zi
扶,fu
乎,fu
符,fu
符合,fu hap
扶起,fu hei
符號,fu hou
芙蓉,fu jung
符碌,fu luk
扶手,fu sau
婦,fu
婦人,fu jan
婦聯,fu lyun
婦女,fu neoi
負,fu
父,fu
赴,fu
付,fu
腐,fu
附,fu
傅,fu (fu variant of 敷)
腐敗,fu baai
附表格,fu biu gaak
父親,fu can
付清,fu ching
負重,fu cung
輔導,fu dou
腐化,fu faa
付費,fu fai
附加,fu gaa
附近,fu gan
附近的,fu gan dik
附件,fu gin [fu gin]
負氣,fu hei
負荷,fu ho
付之一炬,fu ji yat geui
付諸,fu jyu
負累,fu leoi
負面影響,fu min ying heung
父母,fu mou
腐蝕,fu sik
腐蝕性,fu sik sing
附屬,fu suk
負債,fu zaai
輔助,fu zo
灰,fui
灰塵,fui can
恢復,fui fuk
恢復自由,fui fuk ji yau
灰姑娘,fui gu neung
灰心,fui sam
灰色,fui sik
晦,fui
悔,fui
悔過,fui gwo
晦氣,fui hei
幅,fuk
福,fuk
蝠,fuk
複,fuk
腹,fuk
覆蓋,fuk goi / fau goi / fuk koi / fau koi
福克,fuk hak
福克蘭,fuk hak laan
福克蘭群島,fuk hak laan kwan dou
福氣,fuk hei
福祉,fuk ji
福爾摩斯,fuk ji mo si
福利,fuk lei
覆沒,fuk mut
福爾,fuk yi
複雜,fuk zaap
複習,fuk zaap
複雜性,fuk zaap sing
複製,fuk zai
服,fuk
袱,fuk
服從,fuk cung
伏特,fuk dak
復發,fuk faat
服服,fuk fuk
復合,fuk hap
復興,fuk hing
復原,fuk jyun
復萌,fuk mang
服務,fuk mou
服務公司,fuk mou gung si
服務態度,fuk mou taai dou
服務業,fuk mou yip
服務於,fuk mou yu
復生,fuk saang
復仇,fuk sau
服侍,fuk si
復活,fuk wut
復活節,fuk wut zit
復,fuk|fuk|fau
歡,fun
寬,fun
歡暢,fun coeng
歡呼,fun fu
歡喜,fun hei
歡迎,fun jing
歡迎會,fun jing wui*
歡樂,fun lok
歡樂時光,fun lok si gwong
歡心,fun sam
歡笑,fun siu
寬鬆,fun sung
歡送,fun sung
寬衣,fun yi
款,fun
款待,fun doi
款項,fun hong
封,fung
瘋,fung
峰,fung
蜂,fung
鋒,fung
豐,fung
封閉,fung bai
風波,fung bo
風暴,fung bou
風塵,fung chan
風情,fung cing
風采,fung coi
瘋癲,fung din
風度,fung dou
豐富,fung fu
瘋瘋癲癲,fung fung din din
風格,fung gaak
風景,fung ging
風骨,fung gwat
風光,fung gwong
豐厚,fung hau
風氣,fung hei
風險,fung him
風雨,fung jyu
風球,fung kau
瘋狂,fung kwong
風流,fung lau
鋒利,fung lei
風浪,fung long
風靡,fung mei
封面,fung min*
豐滿,fung mun
豐年,fung nin
風平浪靜,fung ping long jing
風生水起,fung saang seoi hei
風濕,fung sap
豐收,fung sau
風水,fung seoi
風水輪流轉,fung seoi leon lau zyun
風水輪流,fung seui leun lau
風霜,fung seung
風箱,fung seung
風扇,fung sin
風聲,fung sing
封鎖,fung so
風騷,fung sou
風頭,fung tau
風頭火勢,fung tau fo sai
封艇,fung teng
風土,fung tou
風土人情,fung tou jan cing
風筒,fung tung*
風韻,fung wan
峰迴路轉,fung wui lou {zyun zyun}
風雨無阻,fung yu mou jo
風箏,fung zang
風俗,fung zuk
俸,fung
諷,fung
諷刺,fung ci
逢,fung
馮,fung|pang
奉,fung
鳳,fung
奉還,fung waan
鳳爪,fung zaau
奉旨,fung zi
闊,fut
闊步,fut bou
闊綽,fut coek
闊佬,fut lou
闊佬懶理,fut lou laan lei
闊太,fut taai*
加壓,ga aat
嘉賓,ga ban
加冰,ga bing
家長會,ga cheung wui
加刺激,ga chi gik
加大,ga daai
家底,ga dai
家訓,ga fan
加減乘除,ga gaam sing cheui
家系,ga hai
加肯,ga hang
加害,ga hoi
家酒店,ga jau dim
加之,ga ji
家子,ga ji
加值,ga jik
加拉,ga laai
家裡,ga leui
加了,ga liu
加派,ga paai
加深,ga sam
家室,ga sat
加上,ga seung
加思,ga si
加數,ga sou
家庭成員,ga ting sing yun
加入到,ga yap dou
家養,ga yeung
加意,ga yi
家燕,ga yin
假的,ga dik
假髮,ga faat
假果,ga gwo
假帳,ga jeung
假象,ga jeung
假正經,ga jing ging
假名,ga ming
假冒,ga mou
假山,ga saan
假死,ga sei
假,ga|ga
嫁,ga
價,ga
駕,ga
架車,ga che
嫁雞隨雞,ga gai cheui gai
價碼,ga ma
㗎嘛,ga maa
家,gaa
加,gaa
嘉,gaa
家中,gaa {zung zung}
家財,gaa coi
家嘈屋閉,gaa cou uk bai
家畜,gaa cuk
加快,gaa faai
家法,gaa faat
傢伙,gaa fo
家父,gaa fu
加價,gaa gaa
家教,gaa gaau
加緊,gaa gan
家居,gaa geoi
家具,gaa geoi
家下,gaa haa*/haa*
家鄉,gaa hoeng
家人,gaa jan
加入,gaa jap
加油,gaa jau*
加以,gaa ji
家用,gaa jung; gaa jung*
加劇,gaa kek
加強,gaa koeng
加埋,gaa maai
家母,gaa mou
家務,gaa mou
家門,gaa mun
加拿大,gaa naa daai
加拿大人,gaa naa daai jan
嘉年華,gaa nin waa
加薪,gaa san
傢俬,gaa si
家俬,gaa si
家私,gaa si
家事,gaa si
加繩,gaa sing
家嫂,gaa sou
家屬,gaa suk
家頭細務,gaa tau sai mou
家庭,gaa ting
家陣,gaa zan*
家姐,gaa ze*
家長,gaa zoeng
家族,gaa zuk
架,gaa
假扮,gaa baan
假設,gaa cit
假若,gaa joek
假如,gaa jyu
假使,gaa si
架,gaa
架步,gaa bou
價錢,gaa cin
價格,gaa gaak
嫁人,gaa jan
架構,gaa kau
